timestamp,cpu_user_percent,cpu_system_percent,cpu_idle_percent,load_avg_1min
1754586662,0.9,0.7,98.4,1.83
1754586667,11.3,1.2,87.2,4.27
1754586672,1.0,1.0,98.0,4.25
1754586678,0.7,0.9,98.1,4.07
1754586683,0.5,0.5,99.0,3.82
1754586688,0.8,0.2,98.9,3.60
1754586693,0.7,0.3,99.0,3.55
1754586699,0.8,0.2,98.9,3.42
1754586704,0.8,0.2,98.9,3.23
1754586709,0.8,0.3,98.4,3.05
1754586714,0.8,0.3,98.8,2.97
1754586719,1.2,1.0,97.6,2.81
1754586725,1.3,0.5,97.8,2.66
1754586730,1.2,0.7,98.0,2.53
1754586735,1.2,0.5,98.1,2.49
1754586740,1.2,0.6,97.8,2.45
1754586745,1.2,0.4,98.3,2.33
1754586751,0.8,0.2,98.7,2.31
1754586756,0.9,0.2,98.3,2.28
1754586761,1.4,0.9,96.9,2.34
1754586766,1.2,0.9,97.2,2.31
1754586772,1.2,0.8,97.7,2.37
1754586777,1.3,0.4,98.1,2.34
1754586782,0.3,0.4,99.2,2.23
1754586787,0.6,0.4,98.9,2.72
1754586792,0.8,0.9,98.1,2.58
1754586798,0.4,0.5,98.7,2.45
1754586803,0.1,0.2,99.4,2.26
1754586808,0.1,0.3,99.4,2.15
1754586813,0.0,0.1,99.2,2.06
1754586818,0.9,0.4,98.4,2.30
1754586824,1.0,0.8,98.2,2.35
1754586829,1.1,0.5,98.0,2.33
1754586834,0.5,0.5,98.8,2.30
1754586839,0.8,0.2,98.6,2.19
1754586845,0.8,0.2,99.0,2.10
1754586850,0.9,0.3,98.7,2.01
1754586855,1.8,0.6,97.4,2.09
1754586860,1.3,0.8,96.7,2.08
1754586865,1.2,0.6,98.1,2.08
1754586871,1.0,0.9,97.7,1.99
1754586876,0.8,0.2,98.6,2.07
1754586881,0.8,0.2,98.6,1.98
1754586886,0.8,0.2,98.4,1.91
1754586891,0.7,0.3,98.7,1.83
1754586897,0.8,0.2,98.9,1.77
1754586902,1.1,0.4,98.3,1.70
1754586907,0.9,0.4,98.6,1.73
1754586912,1.0,0.7,98.1,1.77
1754586918,1.2,0.9,97.9,1.87
1754586923,1.1,0.8,98.1,1.88
1754586928,0.8,0.2,98.9,1.81
1754586933,0.1,0.1,99.2,2.30
1754586938,0.0,0.2,99.5,2.36
1754586944,0.1,0.2,99.4,2.17
1754586949,0.2,0.3,99.0,2.00
1754586954,0.0,0.1,99.8,2.00
1754586959,0.2,0.2,99.2,1.84
1754586964,0.4,0.5,98.9,1.69
1754586970,1.0,0.5,98.0,1.63
1754586975,0.6,0.6,98.9,1.58
1754586980,5.0,0.6,94.3,1.54
1754586985,0.8,0.6,98.6,1.65
1754586991,1.1,0.2,98.6,1.60
1754586996,0.8,1.2,97.8,1.55
1754587001,1.0,0.4,98.6,1.91
1754587006,0.8,0.3,98.5,2.00
1754587011,0.7,0.4,99.0,1.92
1754587017,1.1,0.3,98.1,2.00
1754587022,1.1,0.4,98.6,2.00
1754587027,1.0,0.8,98.1,2.08
1754587032,0.8,0.3,98.2,2.32
1754587037,1.1,0.3,98.3,2.19
1754587043,1.3,0.5,97.9,2.09
1754587048,1.6,0.5,97.8,2.00
1754587053,1.8,0.9,96.5,2.00
1754587058,1.4,0.7,97.8,2.00
1754587063,1.2,0.5,98.2,1.92
1754587069,1.6,0.9,97.2,1.93
1754587074,1.1,0.8,98.0,1.94
1754587079,0.9,0.7,98.0,2.02
1754587084,1.3,1.0,97.7,2.02
1754587089,1.3,0.7,97.3,2.02
1754587095,1.1,0.8,97.9,2.02
1754587100,1.5,1.0,97.3,2.01
1754587105,1.7,1.4,97.0,2.01
1754587110,2.0,1.5,96.1,1.93
1754587116,1.9,1.3,96.5,1.86
1754587121,1.3,1.0,97.5,1.95
1754587126,0.9,0.7,98.3,1.95
1754587131,0.9,0.7,98.4,1.88
1754587136,0.9,0.6,97.8,1.89
1754587142,1.0,0.7,98.1,1.90
1754587147,1.3,0.9,97.7,1.82
1754587152,1.4,1.0,97.6,2.00
1754587157,1.6,1.0,97.0,2.08
1754587162,1.4,0.9,97.3,2.43
1754587168,1.4,1.1,97.3,2.48
1754587173,2.1,1.4,96.4,2.44
1754587178,1.6,0.9,97.3,2.41
1754587183,1.0,0.6,98.4,2.29
1754587188,0.3,0.5,98.3,3.07
1754587194,0.0,0.2,99.8,2.98
1754587199,0.0,0.2,99.5,2.83
1754587204,0.1,0.2,99.7,2.60
1754587209,0.0,0.2,99.7,2.39
1754587215,0.0,0.1,99.8,2.28
1754587220,0.0,0.2,99.4,2.18
1754587225,0.8,0.4,98.4,2.16
1754587230,0.8,0.8,98.3,2.23
1754587235,1.2,0.7,97.8,2.13
1754587241,0.8,0.8,98.2,2.36
1754587246,1.1,0.3,98.4,2.33
1754587251,1.0,0.4,98.4,2.39
1754587256,0.8,0.2,98.8,4.84
1754587262,0.8,0.2,99.0,4.69
1754587267,0.8,0.2,99.0,4.39
1754587272,0.8,0.1,98.5,4.20
1754587277,0.8,0.1,99.0,3.94
1754587282,7.3,1.1,91.5,3.79
1754587288,0.9,0.4,98.6,3.57
1754587293,1.3,0.6,97.9,3.36
1754587298,1.0,0.4,98.5,3.25
1754587303,1.1,0.3,98.3,3.07
1754587308,1.4,0.8,97.4,2.91
1754587314,1.0,0.4,98.0,2.99
1754587319,1.4,0.3,98.2,2.91
1754587324,1.8,1.2,96.4,2.76
1754587329,1.5,1.1,97.2,2.70
1754587334,1.3,0.8,97.3,2.64
1754587340,1.1,0.8,97.5,2.67
1754587345,1.0,0.6,98.2,2.62
1754587350,1.0,0.6,97.6,2.49
1754587355,1.1,0.7,98.1,2.37
1754587361,1.2,0.8,97.9,2.42
1754587366,1.3,1.0,97.3,2.39
1754587371,1.4,1.0,97.1,2.44
1754587376,1.3,1.1,97.5,2.40
1754587381,1.5,1.2,97.2,2.61
1754587387,1.2,0.9,97.6,2.64
1754587392,1.3,0.8,97.8,2.59
1754587397,1.5,1.1,97.4,2.70
1754587402,1.4,1.0,97.5,2.65
1754587407,1.5,1.1,97.2,2.85
1754587413,1.7,1.5,96.5,2.70
1754587418,1.6,1.1,97.0,2.72
1754587423,1.6,1.2,97.2,2.83
1754587428,1.3,1.0,97.4,2.84
1754587433,1.1,0.4,98.5,2.77
1754587439,0.3,1.2,98.2,2.79
1754587444,0.4,0.4,98.6,3.29
1754587449,0.6,0.7,98.5,3.03
1754587454,1.0,0.9,97.0,2.86
1754587460,0.5,0.6,98.5,2.63
1754587465,0.4,0.6,98.6,2.42
1754587470,0.4,0.5,98.3,2.23
1754587475,0.5,0.5,98.8,2.13
1754587480,1.2,0.8,97.7,2.20
1754587486,0.9,1.0,98.1,2.18
1754587491,1.0,0.6,98.0,2.17
1754587496,0.5,0.5,99.0,2.24
1754587501,0.8,0.2,98.9,2.06
1754587506,9.8,1.9,87.8,2.29
1754587512,0.7,0.2,98.8,2.19
1754587517,0.8,0.2,98.7,2.09
1754587522,0.9,0.2,98.3,2.09
1754587527,1.4,0.5,97.7,2.16
1754587532,1.9,0.8,97.1,2.37
1754587538,1.4,0.9,97.6,2.26
1754587543,1.5,0.8,97.7,2.16
1754587548,1.4,0.8,97.4,2.06
1754587553,1.0,0.5,98.5,2.06
1754587559,1.0,0.4,98.5,2.21
1754587564,1.1,0.4,98.6,2.28
1754587569,0.8,0.4,98.7,2.18
1754587574,1.0,0.2,98.8,2.08
1754587579,1.3,0.8,97.3,1.99
1754587585,1.7,1.0,97.3,1.91
1754587590,1.7,1.2,96.8,1.92
1754587595,1.5,1.2,97.3,2.09
1754587600,1.1,0.4,98.4,2.08
1754587605,0.3,0.4,98.8,2.07
1754587611,0.4,0.5,98.8,2.63
1754587616,0.1,0.2,99.1,2.50
1754587621,0.4,0.4,99.1,2.46
1754587626,0.0,0.1,99.8,2.34
1754587632,0.2,0.3,99.1,2.23
1754587637,0.3,0.3,98.8,2.13
1754587642,1.2,0.4,98.3,1.96
1754587647,0.5,0.5,99.0,1.89
1754587652,0.4,0.6,99.0,1.75
1754587658,0.8,0.9,98.1,1.69
1754587663,0.7,0.6,98.0,1.71
1754587668,1.0,0.3,98.1,1.74
1754587673,1.1,0.6,98.3,4.16
1754587679,1.0,0.4,98.4,3.91
1754587684,1.2,0.4,98.2,3.75
1754587689,1.1,0.4,98.3,3.69
1754587694,0.9,0.2,99.0,3.64
1754587699,1.0,0.7,97.9,3.51
1754587705,0.9,0.2,98.2,3.63
1754587710,1.4,0.6,97.7,3.66
1754587715,1.4,0.7,97.2,3.52
1754587720,1.3,1.0,96.8,3.48
1754587726,1.2,0.7,98.2,3.28
1754587731,0.9,0.5,98.3,3.26
1754587736,1.4,0.5,97.9,3.08
1754587741,2.1,1.2,96.3,2.99
1754587746,1.8,1.4,96.6,3.15
1754587752,1.4,1.0,97.5,3.06
1754587757,1.4,1.1,97.4,3.46
1754587762,1.1,1.2,97.7,3.50
1754587767,1.1,0.3,98.5,3.30
1754587772,0.3,0.3,99.4,3.51
1754587778,0.2,0.4,99.2,3.39
1754587783,0.1,0.2,99.8,3.27
1754587788,0.4,0.2,99.1,3.01
1754587793,0.0,0.2,99.6,2.93
1754587799,0.3,0.3,99.3,2.86
1754587804,0.7,0.8,97.4,2.71
1754587809,4.2,0.9,94.5,2.81
1754587814,1.3,0.9,97.7,2.83
1754587819,11.4,0.9,87.2,2.84
1754587825,1.0,1.0,97.3,2.69
1754587830,1.1,0.4,98.3,2.56
1754587835,17.0,3.6,79.3,2.59
1754587840,1.6,0.6,97.4,2.54
1754587845,1.3,0.9,97.5,2.50
1754587851,1.4,1.0,97.6,2.54
1754587856,0.9,0.3,98.6,2.50
1754587861,1.1,1.0,97.3,2.54
1754587866,1.7,0.6,97.1,3.06
1754587872,2.0,1.4,96.4,2.89
1754587877,1.7,1.1,97.0,2.90
1754587882,1.0,0.6,98.3,2.83
1754587887,1.4,0.6,98.0,2.68
1754587893,1.6,0.6,97.6,2.66
1754587898,1.2,0.5,98.3,2.60
1754587903,1.1,0.9,97.7,3.04
1754587908,1.4,0.9,97.3,2.95
1754587913,1.6,1.1,97.4,2.96
1754587919,1.8,1.5,95.9,2.96
1754587924,1.4,1.0,97.6,2.96
1754587929,1.7,1.2,96.9,2.97
1754587934,1.4,1.1,97.3,3.05
1754587940,1.3,0.8,97.6,3.13
1754587945,1.5,1.1,97.2,3.12
1754587950,1.2,0.8,97.9,3.11
1754587955,0.9,0.6,98.5,3.02
1754587960,1.3,0.9,97.6,3.18
1754587966,0.9,0.6,98.5,3.16
1754587971,1.0,0.8,97.3,3.15
1754587976,1.2,0.9,97.7,3.06
1754587981,1.2,0.8,98.0,2.97
1754587986,1.2,0.9,97.6,2.89
1754587992,1.4,0.9,97.7,2.82
1754587997,1.0,0.7,98.1,3.40
1754588002,1.2,0.9,97.3,3.20
1754588007,1.4,0.9,97.4,3.27
1754588013,1.1,0.9,97.8,3.23
1754588018,1.3,0.8,97.2,3.05
1754588023,1.7,1.1,97.1,3.04
1754588028,1.1,0.9,97.9,3.04
1754588033,0.9,0.7,98.3,2.96
1754588039,1.3,0.4,97.7,2.80
1754588044,0.3,0.4,99.3,3.22
1754588049,0.3,0.4,99.1,2.96
1754588054,0.4,0.5,98.4,2.88
1754588060,0.3,0.5,98.8,2.73
1754588065,0.3,0.5,98.9,2.51
1754588070,0.7,0.7,97.9,2.39
1754588075,0.6,0.6,98.4,2.36
1754588080,1.8,0.8,97.0,2.33
1754588086,2.0,1.6,96.3,2.38
1754588091,2.0,1.3,96.5,2.43
1754588096,1.6,1.4,96.8,4.96
1754588101,2.0,1.0,96.9,4.80
1754588107,1.1,0.5,98.2,4.58
1754588112,1.6,0.9,96.8,7.02
1754588117,1.8,1.1,96.6,6.77
1754588122,0.9,0.3,98.7,6.31
1754588128,0.8,0.2,98.5,5.57
1754588133,1.3,1.1,97.4,5.36
1754588138,0.8,0.2,98.7,5.25
1754588143,1.3,0.4,98.3,4.99
1754588148,2.0,0.9,96.7,4.75
1754588154,1.3,0.7,97.9,4.69
1754588159,0.9,0.5,98.6,4.48
1754588164,1.2,0.4,98.4,4.28
1754588169,1.5,0.7,97.7,4.25
1754588174,1.6,1.2,97.2,4.07
1754588180,1.8,1.4,96.0,3.91
1754588185,2.2,1.6,95.3,3.92
1754588190,1.9,1.6,95.9,3.76
1754588195,1.2,0.9,97.9,3.62
1754588201,1.2,0.9,97.6,3.57
1754588206,1.0,0.8,98.0,3.52
1754588211,1.4,0.8,97.6,3.32
1754588216,1.6,1.2,96.8,3.22
1754588221,1.4,1.2,97.3,3.20
1754588227,1.5,1.0,97.4,3.10
1754588232,1.5,1.0,96.8,3.09
1754588237,1.4,1.1,97.4,3.01
1754588242,1.7,1.3,97.0,2.93
1754588248,1.0,0.7,98.2,2.86
1754588253,1.1,0.7,98.0,2.95
1754588258,1.9,1.2,96.7,2.79
1754588263,1.5,1.1,97.3,2.81
1754588269,1.5,1.2,97.1,2.74
1754588274,1.7,1.2,96.8,2.85
1754588279,1.0,0.8,97.8,2.86
1754588284,1.4,0.9,97.6,2.79
1754588289,1.6,1.0,97.2,2.73
1754588295,1.0,0.8,98.2,2.67
1754588300,0.9,0.7,97.4,2.93
1754588305,1.1,0.8,98.1,2.94
1754588310,1.0,0.4,98.3,2.86
1754588315,0.4,1.0,98.3,3.04
1754588321,0.0,0.2,99.8,3.43
1754588326,0.1,0.2,99.0,3.24
1754588331,0.3,0.3,99.0,3.06
1754588336,0.6,0.6,98.5,2.97
1754588342,0.9,0.7,98.3,2.74
1754588347,0.6,0.7,98.7,2.60
1754588352,0.2,0.3,99.5,2.55
1754588357,0.2,0.2,99.6,2.42
1754588362,0.4,0.4,99.1,2.31
1754588368,0.6,0.5,98.9,2.33
1754588373,1.1,0.7,98.2,2.22
1754588378,1.2,1.1,97.4,2.04
