timestamp,device,temp_edge_celsius,temp_junction_celsius
1754586056,card0,51.0,44.0
1754586056,card1,47.0,38.0
1754586056,card2,47.0,41.0
1754586056,card3,51.0,43.0
1754586056,card4,48.0,42.0
1754586056,card5,46.0,39.0
1754586056,card6,49.0,43.0
1754586056,card7,45.0,39.0
1754586056,
1754586062,card0,51.0,44.0
1754586062,card1,47.0,39.0
1754586062,card2,47.0,41.0
1754586062,card3,51.0,43.0
1754586062,card4,49.0,42.0
1754586062,card5,46.0,39.0
1754586062,card6,49.0,43.0
1754586062,card7,45.0,39.0
1754586062,
1754586067,card0,51.0,44.0
1754586067,card1,47.0,39.0
1754586067,card2,47.0,41.0
1754586067,card3,51.0,43.0
1754586067,card4,49.0,42.0
1754586067,card5,46.0,39.0
1754586067,card6,49.0,43.0
1754586067,card7,45.0,39.0
1754586067,
1754586072,card0,51.0,44.0
1754586072,card1,47.0,39.0
1754586072,card2,47.0,41.0
1754586072,card3,52.0,44.0
1754586072,card4,49.0,43.0
1754586072,card5,46.0,39.0
1754586072,card6,49.0,43.0
1754586072,card7,45.0,39.0
1754586072,
1754586077,card0,51.0,44.0
1754586077,card1,48.0,39.0
1754586077,card2,47.0,41.0
1754586077,card3,52.0,44.0
1754586077,card4,49.0,43.0
1754586077,card5,46.0,39.0
1754586077,card6,49.0,43.0
1754586077,card7,45.0,39.0
1754586077,
1754586082,card0,51.0,44.0
1754586082,card1,48.0,39.0
1754586082,card2,47.0,41.0
1754586082,card3,52.0,44.0
1754586082,card4,49.0,43.0
1754586082,card5,46.0,39.0
1754586082,card6,49.0,44.0
1754586082,card7,45.0,39.0
1754586082,
1754586087,card0,51.0,45.0
1754586087,card1,48.0,39.0
1754586087,card2,47.0,41.0
1754586087,card3,52.0,45.0
1754586087,card4,49.0,43.0
1754586087,card5,46.0,40.0
1754586087,card6,50.0,44.0
1754586087,card7,45.0,39.0
1754586087,
1754586092,card0,52.0,44.0
1754586092,card1,48.0,39.0
1754586092,card2,47.0,41.0
1754586092,card3,52.0,44.0
1754586092,card4,49.0,43.0
1754586092,card5,46.0,39.0
1754586092,card6,50.0,44.0
1754586092,card7,45.0,39.0
1754586092,
1754586098,card0,52.0,45.0
1754586098,card1,48.0,39.0
1754586098,card2,47.0,41.0
1754586098,card3,52.0,44.0
1754586098,card4,49.0,44.0
1754586098,card5,46.0,39.0
1754586098,card6,50.0,43.0
1754586098,card7,45.0,39.0
1754586098,
1754586103,card0,52.0,45.0
1754586103,card1,48.0,39.0
1754586103,card2,47.0,41.0
1754586103,card3,52.0,44.0
1754586103,card4,49.0,43.0
1754586103,card5,46.0,39.0
1754586103,card6,50.0,43.0
1754586103,card7,45.0,39.0
1754586103,
1754586108,card0,52.0,45.0
1754586108,card1,48.0,39.0
1754586108,card2,47.0,41.0
1754586108,card3,52.0,44.0
1754586108,card4,49.0,43.0
1754586108,card5,46.0,39.0
1754586108,card6,50.0,43.0
1754586108,card7,45.0,39.0
1754586108,
1754586113,card0,54.0,47.0
1754586113,card1,48.0,39.0
1754586113,card2,47.0,41.0
1754586113,card3,52.0,44.0
1754586113,card4,49.0,43.0
1754586113,card5,46.0,39.0
1754586113,card6,50.0,43.0
1754586113,card7,45.0,39.0
1754586113,
1754586118,card0,58.0,47.0
1754586118,card1,48.0,39.0
1754586118,card2,47.0,41.0
1754586118,card3,52.0,44.0
1754586118,card4,49.0,43.0
1754586118,card5,46.0,40.0
1754586118,card6,50.0,44.0
1754586118,card7,45.0,39.0
1754586118,
1754586123,card0,54.0,47.0
1754586123,card1,48.0,39.0
1754586123,card2,47.0,41.0
1754586123,card3,52.0,44.0
1754586123,card4,49.0,43.0
1754586123,card5,46.0,39.0
1754586123,card6,50.0,44.0
1754586123,card7,45.0,39.0
1754586123,
1754586128,card0,53.0,47.0
1754586128,card1,48.0,39.0
1754586128,card2,47.0,41.0
1754586128,card3,52.0,44.0
1754586128,card4,49.0,43.0
1754586128,card5,46.0,39.0
1754586128,card6,50.0,44.0
1754586128,card7,45.0,39.0
1754586128,
1754586133,card0,53.0,46.0
1754586133,card1,48.0,39.0
1754586133,card2,47.0,41.0
1754586133,card3,52.0,44.0
1754586133,card4,49.0,43.0
1754586133,card5,46.0,40.0
1754586133,card6,50.0,44.0
1754586133,card7,45.0,39.0
1754586133,
1754586139,card0,53.0,46.0
1754586139,card1,48.0,39.0
1754586139,card2,47.0,41.0
1754586139,card3,52.0,44.0
1754586139,card4,49.0,43.0
1754586139,card5,46.0,39.0
1754586139,card6,50.0,44.0
1754586139,card7,45.0,39.0
1754586139,
1754586144,card0,52.0,45.0
1754586144,card1,47.0,39.0
1754586144,card2,47.0,41.0
1754586144,card3,52.0,44.0
1754586144,card4,49.0,42.0
1754586144,card5,46.0,39.0
1754586144,card6,49.0,43.0
1754586144,card7,45.0,38.0
1754586144,
1754586149,card0,52.0,46.0
1754586149,card1,47.0,39.0
1754586149,card2,47.0,41.0
1754586149,card3,51.0,44.0
1754586149,card4,49.0,42.0
1754586149,card5,46.0,39.0
1754586149,card6,49.0,43.0
1754586149,card7,45.0,38.0
1754586149,
1754586154,card0,52.0,45.0
1754586154,card1,47.0,39.0
1754586154,card2,47.0,41.0
1754586154,card3,51.0,43.0
1754586154,card4,49.0,42.0
1754586154,card5,46.0,39.0
1754586154,card6,49.0,43.0
1754586154,card7,45.0,39.0
1754586154,
1754586159,card0,59.0,64.0
1754586159,card1,47.0,39.0
1754586159,card2,47.0,41.0
1754586159,card3,52.0,43.0
1754586159,card4,49.0,42.0
1754586159,card5,46.0,39.0
1754586159,card6,49.0,43.0
1754586159,card7,45.0,38.0
1754586159,
1754586164,card0,61.0,68.0
1754586164,card1,47.0,39.0
1754586164,card2,47.0,41.0
1754586164,card3,52.0,44.0
1754586164,card4,49.0,43.0
1754586164,card5,46.0,39.0
1754586164,card6,49.0,44.0
1754586164,card7,45.0,39.0
1754586164,
1754586169,card0,56.0,49.0
1754586169,card1,48.0,39.0
1754586169,card2,47.0,41.0
1754586169,card3,52.0,44.0
1754586169,card4,49.0,43.0
1754586169,card5,46.0,39.0
1754586169,card6,49.0,43.0
1754586169,card7,45.0,38.0
1754586169,
1754586175,card0,56.0,49.0
1754586175,card1,48.0,39.0
1754586175,card2,47.0,41.0
1754586175,card3,52.0,44.0
1754586175,card4,49.0,43.0
1754586175,card5,46.0,39.0
1754586175,card6,50.0,44.0
1754586175,card7,45.0,39.0
1754586175,
1754586180,card0,54.0,47.0
1754586180,card1,47.0,38.0
1754586180,card2,47.0,41.0
1754586180,card3,52.0,44.0
1754586180,card4,49.0,43.0
1754586180,card5,46.0,39.0
1754586180,card6,49.0,43.0
1754586180,card7,45.0,38.0
1754586180,
1754586185,card0,53.0,46.0
1754586185,card1,47.0,38.0
1754586185,card2,47.0,40.0
1754586185,card3,51.0,43.0
