timestamp,total_gb,used_gb,available_gb,usage_percent,cached_gb
1754586056,2014.0,45.0,1968.0,2.2,1056.0
1754586061,2014.0,45.0,1968.0,2.2,1056.0
1754586066,2014.0,46.0,1968.0,2.3,1056.0
1754586071,2014.0,47.0,1967.0,2.3,1056.0
1754586076,2014.0,48.0,1966.0,2.4,1056.0
1754586081,2014.0,48.0,1966.0,2.4,1056.0
1754586086,2014.0,48.0,1965.0,2.4,1056.0
1754586091,2014.0,47.0,1966.0,2.3,1056.0
1754586096,2014.0,48.0,1966.0,2.4,1056.0
1754586101,2014.0,50.0,1964.0,2.5,1056.0
1754586106,2014.0,50.0,1964.0,2.5,1056.0
1754586112,2014.0,50.0,1964.0,2.5,1056.0
1754586117,2014.0,50.0,1964.0,2.5,1056.0
1754586122,2014.0,54.0,1960.0,2.7,1056.0
1754586127,2014.0,54.0,1959.0,2.7,1056.0
1754586132,2014.0,55.0,1959.0,2.7,1056.0
1754586137,2014.0,56.0,1958.0,2.8,1056.0
1754586142,2014.0,57.0,1957.0,2.8,1056.0
1754586147,2014.0,57.0,1956.0,2.8,1056.0
1754586152,2014.0,57.0,1956.0,2.8,1056.0
1754586157,2014.0,58.0,1956.0,2.9,1056.0
1754586162,2014.0,58.0,1956.0,2.9,1056.0
1754586167,2014.0,57.0,1957.0,2.8,1056.0
1754586172,2014.0,56.0,1957.0,2.8,1056.0
1754586177,2014.0,46.0,1968.0,2.3,1056.0
1754586182,2014.0,46.0,1968.0,2.3,1056.0
1754586187,2014.0,46.0,1968.0,2.3,1056.0
1754586192,2014.0,46.0,1968.0,2.3,1056.0
1754586197,2014.0,46.0,1968.0,2.3,1056.0
1754586202,2014.0,46.0,1968.0,2.3,1056.0
1754586207,2014.0,46.0,1968.0,2.3,1056.0
1754586212,2014.0,46.0,1968.0,2.3,1056.0
1754586217,2014.0,46.0,1967.0,2.3,1056.0
1754586222,2014.0,48.0,1966.0,2.4,1056.0
1754586227,2014.0,48.0,1966.0,2.4,1056.0
1754586232,2014.0,49.0,1965.0,2.4,1056.0
1754586237,2014.0,48.0,1966.0,2.4,1056.0
1754586242,2014.0,48.0,1966.0,2.4,1056.0
1754586247,2014.0,48.0,1965.0,2.4,1056.0
1754586252,2014.0,50.0,1964.0,2.5,1056.0
1754586257,2014.0,50.0,1964.0,2.5,1056.0
1754586262,2014.0,50.0,1964.0,2.5,1056.0
1754586267,2014.0,54.0,1960.0,2.7,1056.0
1754586272,2014.0,54.0,1960.0,2.7,1056.0
1754586277,2014.0,55.0,1959.0,2.7,1056.0
1754586282,2014.0,55.0,1958.0,2.7,1056.0
1754586287,2014.0,56.0,1958.0,2.8,1056.0
1754586292,2014.0,57.0,1957.0,2.8,1056.0
1754586297,2014.0,57.0,1957.0,2.8,1056.0
1754586302,2014.0,57.0,1956.0,2.8,1056.0
1754586307,2014.0,57.0,1956.0,2.8,1056.0
1754586312,2014.0,57.0,1956.0,2.8,1056.0
1754586317,2014.0,57.0,1956.0,2.8,1056.0
1754586322,2014.0,57.0,1956.0,2.8,1056.0
1754586327,2014.0,57.0,1957.0,2.8,1056.0
1754586332,2014.0,57.0,1957.0,2.8,1056.0
1754586337,2014.0,57.0,1957.0,2.8,1056.0
1754586342,2014.0,57.0,1957.0,2.8,1056.0
1754586347,2014.0,57.0,1957.0,2.8,1056.0
1754586352,2014.0,57.0,1957.0,2.8,1056.0
1754586357,2014.0,57.0,1957.0,2.8,1056.0
1754586362,2014.0,57.0,1957.0,2.8,1056.0
1754586367,2014.0,57.0,1957.0,2.8,1056.0
1754586372,2014.0,57.0,1957.0,2.8,1056.0
1754586377,2014.0,57.0,1957.0,2.8,1056.0
1754586382,2014.0,57.0,1957.0,2.8,1056.0
1754586387,2014.0,57.0,1957.0,2.8,1056.0
1754586392,2014.0,56.0,1958.0,2.8,1056.0
1754586397,2014.0,45.0,1969.0,2.2,1056.0
1754586402,2014.0,45.0,1969.0,2.2,1056.0
1754586407,2014.0,45.0,1969.0,2.2,1056.0
1754586412,2014.0,45.0,1968.0,2.2,1056.0
1754586417,2014.0,45.0,1968.0,2.2,1056.0
1754586422,2014.0,45.0,1969.0,2.2,1056.0
1754586427,2014.0,45.0,1968.0,2.2,1056.0
1754586432,2014.0,45.0,1968.0,2.2,1056.0
1754586437,2014.0,46.0,1968.0,2.3,1056.0
1754586442,2014.0,47.0,1967.0,2.3,1056.0
1754586447,2014.0,47.0,1966.0,2.3,1056.0
1754586452,2014.0,49.0,1965.0,2.4,1056.0
1754586457,2014.0,49.0,1965.0,2.4,1056.0
1754586462,2014.0,47.0,1966.0,2.3,1056.0
1754586467,2014.0,48.0,1966.0,2.4,1056.0
